customer_id,state,customer_lifetime_value,response,coverage,education,effective_to_date,employment_status,gender,income,location_code,marital_status,monthly_premium_auto,months_since_last_claim,months_since_policy_inception,number_of_open_complaints,number_of_policies,policy_type,policy,renew_offer_type,sales_channel,total_claim_amount,vehicle_class,vehicle_size,vehicle_type,month
GV59387,California,5618.485357,No,Basic,College,2011-01-08,Medical Leave,F,24518.0,Urban,Married,74,23,62,0,3,Personal Auto,Personal L2,Offer1,Call Center,241.656325,Two-Door Car,Large,A,Jan
FD75102,California,3237.500928,No,Extended,College,2011-01-29,Disabled,F,27982.0,Rural,Divorced,87,15,74,0,1,Personal Auto,Personal L3,Offer4,Call Center,14.743099,Two-Door Car,Medium,A,Jan
CA79988,Oregon,2552.913868,No,Basic,College,2011-02-06,Employed,M,33124.0,Rural,Single,67,35,7,0,1,Personal Auto,Personal L1,Offer1,Call Center,80.119997,Four-Door Car,Large,A,Feb
ZW19492,Oregon,2404.917967,No,Basic,Bachelor,2011-02-14,Employed,M,63455.0,Urban,Divorced,61,26,71,0,1,Personal Auto,Personal L3,Offer1,Branch,287.654819,Four-Door Car,Medium,A,Feb
UQ16798,Arizona,10208.92761,Yes,Extended,College,2011-02-14,Employed,F,35482.0,Suburban,Married,129,21,59,0,3,Personal Auto,Personal L2,Offer1,Branch,619.2,SUV,Medium,A,Feb
QO68842,California,2518.743544,No,Basic,Doctor,2011-02-10,Employed,F,39317.0,Rural,Single,64,22,46,0,1,Personal Auto,Personal L2,Offer2,Branch,77.695607,Four-Door Car,Medium,A,Feb
XW96958,Nevada,7573.345057,No,Premium,High School or Below,2011-02-20,Unemployed,M,0.0,Suburban,Single,110,6,37,0,6,Corporate Auto,Corporate L3,Offer1,Agent,1193.036154,Four-Door Car,Medium,A,Feb
MU97512,California,7398.873941,No,Basic,Bachelor,2011-02-02,Employed,M,27383.0,Suburban,Married,188,33,25,0,1,Corporate Auto,Corporate L2,Offer4,Branch,902.4,Luxury,Medium,A,Feb
VA30351,Oregon,5595.389905,Yes,Basic,High School or Below,2011-02-05,Employed,F,74454.0,Suburban,Single,71,25,29,0,3,Personal Auto,Personal L2,Offer2,Call Center,340.8,Four-Door Car,Medium,A,Feb
YV63603,California,6678.899026,No,Extended,Bachelor,2011-01-12,Employed,F,47137.0,Rural,Married,84,5,11,0,5,Personal Auto,Personal L1,Offer4,Agent,161.640052,Four-Door Car,Medium,A,Jan
BV86143,California,21034.01815,No,Basic,High School or Below,2011-02-23,Employed,F,26876.0,Urban,Married,66,12,53,0,2,Personal Auto,Personal L2,Offer4,Call Center,219.209762,Four-Door Car,Medium,A,Feb
AR25213,Arizona,7282.967586,No,Basic,High School or Below,2011-01-31,Employed,M,40858.0,Suburban,Married,184,10,62,0,1,Personal Auto,Personal L3,Offer3,Agent,883.2,Four-Door Car,Medium,A,Jan
SI11249,California,5048.226244,No,Basic,High School or Below,2011-02-11,Employed,F,29401.0,Suburban,Single,65,30,56,0,4,Personal Auto,Personal L3,Offer1,Branch,312.0,Four-Door Car,Small,A,Feb
EX28656,Oregon,9830.337629,No,Premium,College,2011-02-10,Employed,F,25965.0,Suburban,Divorced,253,15,59,0,1,Personal Auto,Personal L1,Offer2,Agent,1214.4,Luxury,Medium,A,Feb
WR86431,Nevada,10883.78785,No,Extended,High School or Below,2011-01-25,Employed,F,91123.0,Rural,Divorced,138,32,70,3,8,Corporate Auto,Corporate L1,Offer1,Agent,103.462381,SUV,Medium,A,Jan
XL49151,Arizona,2792.009458,No,Extended,College,2011-02-26,Employed,M,22426.0,Suburban,Single,76,9,31,1,1,Corporate Auto,Corporate L3,Offer3,Branch,528.391284,Four-Door Car,Medium,A,Feb
BP23267,California,73225.95652,No,Extended,Bachelor,2011-02-09,Employed,F,39547.0,Suburban,Married,202,11,21,0,2,Personal Auto,Personal L3,Offer1,Branch,969.6,Luxury,Medium,A,Feb
CL52383,Arizona,11160.07706,No,Extended,Bachelor,2011-01-15,Employed,F,33232.0,Urban,Married,94,21,81,0,2,Special Auto,Special L2,Offer3,Branch,435.527845,Four-Door Car,Medium,A,Jan
SD64087,California,15014.0927,No,Premium,College,2011-01-19,Employed,M,32961.0,Suburban,Married,190,13,53,0,3,Corporate Auto,Corporate L2,Offer1,Branch,912.0,SUV,Small,A,Jan
JZ81608,Oregon,6978.719808,No,Extended,High School or Below,2011-02-10,Employed,M,53808.0,Rural,Married,88,26,91,0,7,Personal Auto,Personal L2,Offer4,Branch,189.835063,Four-Door Car,Medium,A,Feb
OB69329,California,6273.911874,Yes,Extended,College,2011-02-16,Retired,F,18577.0,Suburban,Divorced,86,21,76,0,6,Personal Auto,Personal L2,Offer1,Branch,412.8,Four-Door Car,Medium,A,Feb
NE51159,Oregon,7481.825592,No,Extended,College,2011-01-24,Employed,M,61783.0,Suburban,Married,94,17,20,0,6,Personal Auto,Personal L2,Offer2,Branch,658.125874,Four-Door Car,Small,A,Jan
BB21794,Oregon,5394.913017,No,Basic,Bachelor,2011-02-07,Employed,F,29853.0,Rural,Single,69,8,36,0,6,Personal Auto,Personal L2,Offer1,Agent,76.586018,Four-Door Car,Medium,A,Feb
JA34909,California,2722.210707,Yes,Basic,College,2011-02-02,Medical Leave,F,17576.0,Suburban,Married,71,29,70,0,1,Corporate Auto,Corporate L3,Offer2,Call Center,398.502948,Four-Door Car,Medium,A,Feb
EZ30537,Oregon,23984.62144,No,Premium,Doctor,2011-01-01,Employed,F,79655.0,Rural,Married,296,12,17,0,9,Personal Auto,Personal L3,Offer2,Branch,498.159874,Luxury,Medium,A,Jan
DO12179,Oregon,2451.535793,No,Basic,Bachelor,2011-02-22,Employed,M,48791.0,Rural,Married,62,27,0,3,1,Personal Auto,Personal L2,Offer3,Call Center,69.794432,Two-Door Car,Medium,A,Feb
UY95661,California,4971.727892,No,Basic,Master,2011-02-26,Employed,M,49161.0,Urban,Married,63,16,41,2,3,Personal Auto,Personal L2,Offer3,Branch,171.746945,Two-Door Car,Medium,A,Feb
NK40551,California,7455.361568,No,Extended,High School or Below,2011-01-16,Employed,F,74089.0,Suburban,Married,94,13,89,2,7,Personal Auto,Personal L2,Offer3,Agent,648.690215,Four-Door Car,Medium,A,Jan
AF69537,Arizona,7329.777554,No,Premium,College,2011-01-06,Employed,M,59630.0,Suburban,Married,185,9,67,0,1,Personal Auto,Personal L3,Offer1,Agent,888.0,SUV,Medium,A,Jan
BK21146,Arizona,22103.5072,Yes,Basic,College,2011-01-30,Unemployed,M,0.0,Suburban,Married,102,35,48,0,2,Personal Auto,Personal L2,Offer1,Branch,489.6,SUV,Medium,A,Jan
KN90631,Nevada,8560.162384,No,Basic,High School or Below,2011-01-16,Retired,F,28120.0,Suburban,Married,112,7,52,0,3,Personal Auto,Personal L3,Offer1,Web,537.6,SUV,Medium,A,Jan
CT84535,California,3885.456401,Yes,Premium,College,2011-02-28,Unemployed,M,0.0,Suburban,Married,105,3,92,0,1,Personal Auto,Personal L3,Offer1,Branch,504.0,Four-Door Car,Large,A,Feb
UE19977,California,4379.770178,No,Premium,College,2011-02-22,Employed,F,47747.0,Rural,Divorced,111,31,76,0,1,Personal Auto,Personal L3,Offer3,Web,165.588524,Two-Door Car,Medium,A,Feb
UF37831,Arizona,17029.89338,No,Extended,Master,2011-02-09,Employed,M,54613.0,Urban,Divorced,213,29,62,0,5,Personal Auto,Personal L3,Offer1,Call Center,731.559007,Luxury,Medium,A,Feb
YF80144,Washington,20725.37773,No,Premium,Bachelor,2011-02-02,Disabled,M,15529.0,Suburban,Married,273,1,64,0,9,Personal Auto,Personal L3,Offer3,Branch,1965.6,Luxury,Small,A,Feb
FI93397,Oregon,2776.317884,No,Extended,Bachelor,2011-02-05,Unemployed,F,0.0,Suburban,Single,79,28,94,0,1,Personal Auto,Personal L2,Offer1,Branch,509.028102,Four-Door Car,Medium,A,Feb
AT18041,California,2682.704812,No,Basic,High School or Below,2011-02-28,Employed,F,63471.0,Suburban,Married,67,0,71,0,1,Personal Auto,Personal L1,Offer2,Agent,387.71779,Two-Door Car,Large,A,Feb
YI95434,California,2907.898828,No,Basic,College,2011-02-17,Employed,F,51020.0,Suburban,Divorced,73,16,88,0,1,Personal Auto,Personal L3,Offer2,Branch,350.4,Four-Door Car,Medium,A,Feb
QL93655,Oregon,11473.48149,No,Extended,High School or Below,2011-01-12,Employed,F,66538.0,Urban,Married,95,14,64,0,2,Personal Auto,Personal L3,Offer2,Agent,317.844812,Two-Door Car,Medium,A,Jan
XF89906,Arizona,58207.12842,No,Extended,High School or Below,2011-01-13,Disabled,M,29295.0,Suburban,Married,219,25,50,0,2,Personal Auto,Personal L3,Offer1,Agent,1328.839129,Four-Door Car,Medium,A,Jan
UP60200,California,26576.31541,No,Premium,Bachelor,2011-02-02,Employed,M,87002.0,Rural,Married,110,27,30,0,2,Personal Auto,Personal L2,Offer1,Call Center,199.851173,Two-Door Car,Medium,A,Feb
GS26763,California,11633.57855,No,Extended,Bachelor,2011-02-21,Employed,F,39669.0,Suburban,Married,98,13,63,0,2,Personal Auto,Personal L3,Offer2,Agent,492.935479,Two-Door Car,Small,A,Feb
MF82000,Washington,2365.348601,No,Basic,Bachelor,2011-01-13,Unemployed,F,0.0,Rural,Married,66,25,51,2,1,Special Auto,Special L2,Offer2,Branch,159.636956,Four-Door Car,Medium,A,Jan
KK38827,California,4170.687348,Yes,Basic,Master,2011-01-17,Employed,F,29462.0,Suburban,Single,107,28,23,1,1,Personal Auto,Personal L2,Offer2,Branch,513.6,SUV,Large,A,Jan
MZ43298,California,5200.076742,No,Extended,Bachelor,2011-02-19,Employed,F,90167.0,Urban,Single,131,31,42,0,1,Corporate Auto,Corporate L2,Offer1,Web,523.733793,SUV,Medium,A,Feb
CN19138,Arizona,2254.931708,No,Basic,Bachelor,2011-01-31,Unemployed,F,0.0,Suburban,Single,65,0,51,0,1,Corporate Auto,Corporate L3,Offer3,Agent,312.0,Four-Door Car,Large,A,Jan
WT86597,Oregon,13024.13012,Yes,Extended,Master,2011-01-31,Unemployed,M,0.0,Suburban,Single,125,6,61,0,2,Personal Auto,Personal L3,Offer1,Agent,900.0,SUV,Small,A,Jan
PT50287,Oregon,2959.819985,No,Basic,Bachelor,2011-02-27,Employed,F,69746.0,Urban,Divorced,74,15,91,0,1,Personal Auto,Personal L1,Offer1,Call Center,225.032781,Four-Door Car,Medium,A,Feb
YT92071,California,5243.538258,No,Basic,Master,2011-01-30,Employed,F,44851.0,Suburban,Divorced,66,15,51,0,3,Corporate Auto,Corporate L2,Offer3,Web,439.762045,Four-Door Car,Medium,A,Jan
TW43626,California,8082.880956,No,Basic,College,2011-01-21,Employed,M,53554.0,Suburban,Married,67,6,5,0,2,Personal Auto,Personal L2,Offer1,Agent,327.020539,Four-Door Car,Large,A,Jan
SN94425,Oregon,4541.26342,No,Basic,High School or Below,2011-01-05,Unemployed,F,0.0,Suburban,Divorced,65,15,85,2,4,Special Auto,Special L3,Offer1,Agent,312.0,Four-Door Car,Medium,A,Jan
PE59368,California,5123.484988,No,Basic,Bachelor,2011-01-19,Employed,F,72096.0,Urban,Married,64,24,92,0,5,Personal Auto,Personal L3,Offer1,Agent,252.330905,Two-Door Car,Medium,A,Jan
IX97339,Arizona,9234.277026,No,Extended,College,2011-02-24,Unemployed,F,0.0,Suburban,Single,134,29,43,0,6,Corporate Auto,Corporate L3,Offer1,Branch,643.2,SUV,Medium,A,Feb
BP92643,Arizona,13770.97618,Yes,Premium,High School or Below,2011-02-01,Employed,F,59207.0,Suburban,Single,116,23,21,0,2,Personal Auto,Personal L1,Offer1,Agent,556.8,Four-Door Car,Medium,A,Feb
NE52009,California,39561.07502,No,Basic,College,2011-01-02,Employed,M,60500.0,Suburban,Married,110,27,92,0,2,Personal Auto,Personal L1,Offer3,Branch,770.475631,Luxury,Small,A,Jan
DF65548,California,8613.464627,No,Premium,Master,2011-01-24,Employed,F,26680.0,Suburban,Married,106,11,49,0,5,Personal Auto,Personal L2,Offer1,Agent,508.8,Two-Door Car,Small,A,Jan
SL35268,Arizona,5453.861203,No,Basic,College,2011-01-04,Employed,M,30855.0,Urban,Married,68,7,15,0,7,Corporate Auto,Corporate L3,Offer2,Web,259.060862,Four-Door Car,Medium,A,Jan
PD36660,California,8845.073706,No,Basic,High School or Below,2011-01-14,Employed,F,95850.0,Urban,Married,109,3,16,0,3,Corporate Auto,Corporate L1,Offer1,Agent,328.502498,Luxury,Medium,A,Jan
EM85557,Washington,8021.067105,No,Basic,College,2011-02-16,Employed,F,54292.0,Suburban,Married,67,4,26,0,2,Personal Auto,Personal L1,Offer1,Agent,321.6,Four-Door Car,Small,A,Feb
FA90076,Oregon,2454.589361,No,Basic,Bachelor,2011-02-07,Unemployed,F,0.0,Suburban,Single,72,25,4,0,1,Personal Auto,Personal L3,Offer2,Branch,518.4,Two-Door Car,Medium,A,Feb
QU20310,Arizona,9247.464417,No,Extended,High School or Below,2011-01-02,Employed,F,97030.0,Suburban,Married,76,14,24,0,2,Corporate Auto,Corporate L3,Offer3,Call Center,416.637499,Four-Door Car,Small,A,Jan
ZZ43513,California,13110.54899,No,Basic,High School or Below,2011-01-19,Employed,M,73597.0,Urban,Married,114,15,8,0,2,Personal Auto,Personal L2,Offer4,Agent,485.183645,Four-Door Car,Medium,A,Jan
UF33451,Oregon,10979.09559,No,Extended,Bachelor,2011-02-14,Employed,F,94827.0,Urban,Married,135,5,64,0,4,Personal Auto,Personal L3,Offer1,Agent,354.729129,SUV,Medium,A,Feb
AZ95587,California,10388.55323,No,Extended,Bachelor,2011-01-11,Employed,F,61222.0,Urban,Single,89,20,55,0,2,Special Auto,Special L3,Offer3,Branch,392.604371,Four-Door Car,Small,A,Jan
UQ24268,Oregon,14962.37103,No,Extended,High School or Below,2011-02-12,Unemployed,F,0.0,Suburban,Married,82,9,58,0,2,Personal Auto,Personal L1,Offer4,Agent,393.6,Four-Door Car,Medium,A,Feb
IT37924,Oregon,9752.698201,No,Extended,College,2011-01-17,Employed,F,37345.0,Rural,Married,82,27,12,0,2,Personal Auto,Personal L3,Offer4,Agent,31.652079,Four-Door Car,Medium,A,Jan
JM35350,California,5505.167392,No,Basic,College,2011-02-02,Retired,F,15648.0,Suburban,Married,73,29,68,1,5,Special Auto,Special L3,Offer2,Agent,413.269261,Two-Door Car,Medium,A,Feb
PJ74689,Nevada,14741.76092,No,Extended,Bachelor,2011-01-25,Unemployed,F,0.0,Suburban,Married,139,2,33,1,2,Personal Auto,Personal L3,Offer3,Call Center,667.2,SUV,Medium,A,Jan
KF80571,Arizona,2258.793954,No,Basic,High School or Below,2011-01-02,Unemployed,M,0.0,Suburban,Single,65,8,47,0,1,Personal Auto,Personal L3,Offer3,Agent,625.483498,Four-Door Car,Medium,A,Jan
BI17208,Oregon,2795.321353,No,Basic,College,2011-01-20,Unemployed,M,0.0,Suburban,Married,74,6,61,0,1,Personal Auto,Personal L3,Offer1,Call Center,420.765993,Two-Door Car,Medium,A,Jan
XF33416,Oregon,8692.282356,No,Premium,College,2011-01-22,Employed,F,31986.0,Suburban,Divorced,111,13,83,0,6,Personal Auto,Personal L2,Offer1,Branch,532.8,Four-Door Car,Small,A,Jan
PZ81131,California,4171.300175,No,Basic,Bachelor,2011-01-17,Employed,F,36723.0,Suburban,Married,106,13,18,1,1,Personal Auto,Personal L3,Offer2,Agent,580.091966,SUV,Medium,A,Jan
OC83172,Oregon,8256.2978,Yes,Basic,Bachelor,2011-01-25,Employed,F,62902.0,Rural,Married,69,14,94,0,2,Personal Auto,Personal L3,Offer2,Web,159.383042,Two-Door Car,Medium,A,Jan
YF87007,California,10083.48688,No,Extended,High School or Below,2011-02-19,Retired,F,11828.0,Suburban,Divorced,90,18,84,0,2,Corporate Auto,Corporate L1,Offer1,Agent,571.479602,Four-Door Car,Large,A,Feb
DJ22229,Washington,13759.14695,No,Extended,Bachelor,2011-01-17,Retired,F,16794.0,Suburban,Single,96,7,31,0,2,Personal Auto,Personal L3,Offer1,Branch,460.8,Four-Door Car,Medium,A,Jan
IV13886,California,7292.397562,No,Basic,High School or Below,2011-02-09,Unemployed,M,0.0,Suburban,Married,68,6,50,0,2,Personal Auto,Personal L3,Offer1,Branch,415.986454,Two-Door Car,Medium,A,Feb
FK54851,California,6310.400194,No,Extended,High School or Below,2011-01-31,Employed,M,79880.0,Suburban,Married,79,22,68,1,7,Personal Auto,Personal L3,Offer2,Branch,568.8,Two-Door Car,Medium,A,Jan
XK91603,California,2478.235474,No,Basic,College,2011-02-04,Employed,F,24186.0,Suburban,Single,64,8,11,0,1,Personal Auto,Personal L2,Offer2,Agent,307.2,Four-Door Car,Medium,A,Feb
QJ89807,Nevada,4423.690041,No,Extended,High School or Below,2011-02-11,Unemployed,F,0.0,Suburban,Single,125,8,55,0,1,Personal Auto,Personal L2,Offer3,Agent,900.0,Four-Door Car,Medium,A,Feb
BS34332,California,5557.934118,No,Basic,High School or Below,2011-01-30,Employed,F,83576.0,Suburban,Married,69,35,72,0,5,Personal Auto,Personal L3,Offer3,Web,331.2,Two-Door Car,Medium,A,Jan
KB18303,California,8658.863813,Yes,Basic,College,2011-02-07,Employed,M,62464.0,Urban,Married,109,15,45,0,4,Corporate Auto,Corporate L1,Offer2,Agent,400.181882,Luxury,Medium,A,Feb
HW36182,California,2615.911934,No,Basic,Master,2011-02-03,Unemployed,M,0.0,Suburban,Married,71,15,45,0,1,Personal Auto,Personal L1,Offer2,Agent,340.8,Two-Door Car,Medium,A,Feb
LH53046,Nevada,5439.3601,No,Basic,High School or Below,2011-02-08,Employed,F,69186.0,Urban,Single,69,24,16,0,3,Personal Auto,Personal L3,Offer2,Agent,192.591072,Four-Door Car,Small,A,Feb
MY43761,California,10737.68425,No,Extended,High School or Below,2011-02-23,Employed,M,50607.0,Suburban,Single,137,15,0,0,9,Personal Auto,Personal L2,Offer2,Agent,657.6,SUV,Large,A,Feb
NP60037,Oregon,14318.44839,No,Basic,Bachelor,2011-02-23,Employed,M,22697.0,Suburban,Divorced,186,35,39,1,8,Corporate Auto,Corporate L3,Offer1,Web,892.8,Luxury,Medium,A,Feb
EJ73184,California,4743.694528,No,Basic,Bachelor,2011-02-10,Employed,F,83413.0,Rural,Married,118,0,1,0,1,Personal Auto,Personal L3,Offer2,Web,134.801691,SUV,Medium,A,Feb
VC77127,California,4929.8075,No,Basic,High School or Below,2011-01-27,Unemployed,F,0.0,Suburban,Single,70,25,21,0,6,Personal Auto,Personal L3,Offer4,Call Center,837.438442,Four-Door Car,Medium,A,Jan
YW72997,Arizona,7196.721128,No,Basic,High School or Below,2011-01-08,Unemployed,M,0.0,Suburban,Single,107,22,96,0,4,Personal Auto,Personal L2,Offer4,Web,770.4,SUV,Medium,A,Jan
SA50567,Nevada,5448.555219,No,Basic,Bachelor,2011-01-07,Employed,M,85296.0,Suburban,Married,68,15,47,0,6,Personal Auto,Personal L3,Offer3,Web,342.515136,Four-Door Car,Medium,A,Jan
LK19630,California,2907.43603,No,Basic,High School or Below,2011-01-30,Employed,F,52216.0,Suburban,Married,72,8,55,1,1,Personal Auto,Personal L2,Offer1,Web,362.026936,Four-Door Car,Medium,A,Jan
SM88270,California,30118.6554,No,Premium,High School or Below,2011-01-09,Employed,M,68906.0,Suburban,Married,187,15,61,0,2,Personal Auto,Personal L3,Offer3,Web,1053.300143,Luxury,Medium,A,Jan
JK32620,California,2224.768,No,Basic,College,2011-01-22,Unemployed,M,0.0,Suburban,Single,68,3,4,0,1,Personal Auto,Personal L3,Offer2,Web,326.4,Four-Door Car,Medium,A,Jan
SU44811,Oregon,3055.70113,No,Extended,High School or Below,2011-01-19,Employed,F,42406.0,Rural,Married,77,15,49,0,1,Corporate Auto,Corporate L3,Offer4,Call Center,108.871857,Four-Door Car,Medium,A,Jan
OJ65117,Oregon,5365.54161,No,Basic,Bachelor,2011-02-04,Employed,F,77095.0,Suburban,Divorced,68,22,59,1,4,Personal Auto,Personal L2,Offer3,Agent,461.841879,Four-Door Car,Small,A,Feb
WP73172,Oregon,8287.679305,No,Basic,Bachelor,2011-02-26,Employed,F,81367.0,Urban,Married,103,2,32,0,4,Special Auto,Special L2,Offer3,Branch,415.768941,SUV,Medium,A,Feb
GU56606,Nevada,5953.352957,No,Extended,Bachelor,2011-01-05,Employed,M,20283.0,Suburban,Divorced,77,7,17,0,3,Personal Auto,Personal L1,Offer2,Branch,369.6,Two-Door Car,Medium,A,Jan
UC10048,Oregon,6964.051797,No,Extended,College,2011-02-19,Unemployed,F,0.0,Suburban,Married,95,19,41,1,9,Corporate Auto,Corporate L2,Offer1,Web,629.647822,Four-Door Car,Medium,A,Feb
FG96614,California,11302.60169,No,Extended,Doctor,2011-01-10,Employed,F,22361.0,Suburban,Married,95,15,42,0,2,Personal Auto,Personal L3,Offer4,Agent,530.667993,Four-Door Car,Small,A,Jan
PJ84431,California,7647.451823,No,Basic,High School or Below,2011-02-12,Employed,M,91512.0,Suburban,Married,189,6,86,0,1,Personal Auto,Personal L3,Offer3,Branch,907.2,Luxury,Medium,A,Feb
QH61060,Arizona,9209.41167,No,Basic,High School or Below,2011-02-27,Employed,F,31365.0,Suburban,Married,115,1,12,0,7,Special Auto,Special L2,Offer1,Call Center,828.0,SUV,Medium,A,Feb
Y167826,California,2611.836866,No,Extended,College,2011-02-14,Unemployed,M,0.0,Suburban,Single,77,3,90,0,1,Corporate Auto,Corporate L3,Offer4,Call Center,369.6,Two-Door Car,Medium,A,Feb
XY48850,Nevada,5158.648497,No,Basic,High School or Below,2011-02-04,Unemployed,F,0.0,Suburban,Single,74,24,98,0,5,Personal Auto,Personal L1,Offer2,Agent,588.936956,Two-Door Car,Medium,A,Feb
OE56979,Oregon,9551.167226,No,Basic,High School or Below,2011-01-18,Employed,F,57016.0,Urban,Married,119,31,86,0,3,Personal Auto,Personal L2,Offer2,Agent,341.868399,SUV,Medium,A,Jan
QO56615,California,2980.010499,No,Extended,College,2011-02-09,Medical Leave,F,13535.0,Suburban,Married,80,7,53,1,1,Personal Auto,Personal L3,Offer2,Agent,384.0,Four-Door Car,Small,A,Feb
RX91025,California,19872.262,No,Premium,High School or Below,2011-01-31,Unemployed,M,0.0,Suburban,Single,185,26,35,0,2,Personal Auto,Personal L3,Offer1,Agent,1950.725547,Four-Door Car,Medium,A,Jan
DW62043,Oregon,2452.059049,No,Basic,College,2011-02-05,Employed,F,30216.0,Suburban,Divorced,63,18,74,0,1,Corporate Auto,Corporate L3,Offer2,Call Center,302.4,Four-Door Car,Medium,A,Feb
OB32671,Oregon,37939.48817,No,Basic,High School or Below,2011-01-31,Employed,F,20587.0,Urban,Married,106,14,21,0,2,Personal Auto,Personal L3,Offer3,Agent,363.77598,SUV,Small,A,Jan
FD45309,Oregon,5568.947534,Yes,Extended,High School or Below,2011-01-01,Unemployed,M,0.0,Suburban,Single,79,21,53,1,7,Personal Auto,Personal L2,Offer1,Agent,407.440238,Two-Door Car,Medium,A,Jan
WU14549,Nevada,4369.71794,No,Premium,Master,2011-01-11,Employed,M,88495.0,Suburban,Married,108,15,83,0,1,Personal Auto,Personal L3,Offer1,Branch,535.926948,Two-Door Car,Medium,A,Jan
SF30642,California,8996.774075,No,Basic,High School or Below,2011-02-13,Employed,M,49706.0,Suburban,Married,113,13,95,0,3,Personal Auto,Personal L3,Offer2,Call Center,617.515196,SUV,Medium,A,Feb
AG45299,California,8595.726399,No,Basic,College,2011-01-20,Employed,M,76763.0,Rural,Divorced,108,12,87,0,8,Personal Auto,Personal L3,Offer2,Web,186.459607,SUV,Small,A,Jan
CN16311,Oregon,5476.527832,No,Basic,Master,2011-02-06,Employed,F,52218.0,Rural,Married,68,11,85,0,8,Corporate Auto,Corporate L3,Offer2,Call Center,33.781673,Four-Door Car,Medium,A,Feb
IA63417,California,4001.519098,No,Premium,High School or Below,2011-02-02,Retired,F,19782.0,Suburban,Divorced,108,13,66,0,1,Personal Auto,Personal L3,Offer3,Web,773.470977,Two-Door Car,Medium,A,Feb
SV85652,Arizona,2454.58354,No,Basic,College,2011-02-28,Employed,M,23158.0,Suburban,Married,63,4,6,1,1,Personal Auto,Personal L2,Offer4,Call Center,322.294043,Four-Door Car,Small,A,Feb
RA47157,California,3451.25106,No,Extended,High School or Below,2011-02-18,Employed,M,45609.0,Urban,Married,87,4,30,0,1,Corporate Auto,Corporate L2,Offer4,Agent,246.515921,Two-Door Car,Medium,A,Feb
RQ16234,Arizona,9837.507586,No,Extended,High School or Below,2011-02-16,Employed,F,55099.0,Rural,Divorced,122,15,86,0,3,Corporate Auto,Corporate L3,Offer2,Branch,260.265417,Luxury,Medium,A,Feb
GE29173,Nevada,8591.305411,No,Extended,Bachelor,2011-01-15,Unemployed,M,0.0,Suburban,Single,128,4,24,0,6,Corporate Auto,Corporate L2,Offer1,Branch,1448.994134,SUV,Medium,A,Jan
LF19061,Arizona,5427.484591,No,Basic,High School or Below,2011-02-01,Employed,F,74561.0,Urban,Married,68,0,23,1,5,Personal Auto,Personal L3,Offer3,Web,234.393625,Two-Door Car,Medium,A,Feb
VJ34494,Washington,2442.212317,No,Basic,College,2011-02-12,Unemployed,F,0.0,Suburban,Single,69,7,10,0,1,Corporate Auto,Corporate L1,Offer1,Branch,331.2,Four-Door Car,Large,A,Feb
BW79345,Nevada,4945.072236,No,Basic,High School or Below,2011-01-30,Employed,F,78796.0,Suburban,Divorced,61,15,3,0,3,Personal Auto,Personal L2,Offer2,Call Center,292.8,Two-Door Car,Medium,A,Jan
DO83038,California,8355.774443,No,Basic,College,2011-01-21,Employed,F,64502.0,Rural,Married,70,22,49,0,2,Personal Auto,Personal L3,Offer2,Call Center,39.336222,Two-Door Car,Medium,A,Jan
TQ88221,California,2841.443088,No,Basic,Bachelor,2011-01-07,Employed,F,30473.0,Suburban,Married,72,20,35,0,1,Corporate Auto,Corporate L1,Offer4,Call Center,450.080101,Four-Door Car,Medium,A,Jan
ER10834,Nevada,2674.07551,No,Basic,Master,2011-01-06,Employed,F,68787.0,Rural,Married,66,7,64,0,1,Personal Auto,Personal L3,Offer4,Call Center,105.379402,Four-Door Car,Medium,A,Jan
HP55853,California,22332.43946,Yes,Extended,College,2011-01-11,Employed,M,49078.0,Suburban,Single,97,10,3,0,2,Corporate Auto,Corporate L3,Offer2,Branch,484.013411,Four-Door Car,Medium,A,Jan
DL17162,Arizona,26453.93512,No,Extended,College,2011-02-12,Employed,M,42961.0,Suburban,Married,83,24,16,0,2,Personal Auto,Personal L2,Offer2,Web,398.4,Four-Door Car,Medium,A,Feb
AM57175,Oregon,15000.84238,No,Extended,High School or Below,2011-01-06,Employed,F,62473.0,Suburban,Divorced,76,6,70,1,2,Personal Auto,Personal L3,Offer1,Branch,507.560729,Four-Door Car,Small,A,Jan
RC44077,California,2810.464447,Yes,Basic,Bachelor,2011-02-27,Employed,M,26790.0,Suburban,Married,71,4,41,0,1,Personal Auto,Personal L3,Offer2,Agent,340.8,Two-Door Car,Medium,A,Feb
YH86390,California,4815.009736,No,Basic,Bachelor,2011-01-16,Disabled,F,25398.0,Suburban,Divorced,64,30,80,0,6,Corporate Auto,Corporate L3,Offer2,Agent,307.2,Four-Door Car,Medium,A,Jan
BH68769,Oregon,6347.497519,No,Extended,Bachelor,2011-02-06,Employed,M,42259.0,Suburban,Married,81,1,15,0,3,Personal Auto,Personal L2,Offer2,Call Center,529.502964,Two-Door Car,Small,A,Feb
BB10681,California,4140.648654,No,Extended,College,2011-01-17,Unemployed,F,0.0,Suburban,Divorced,123,5,35,2,1,Corporate Auto,Corporate L3,Offer1,Branch,590.4,SUV,Medium,A,Jan
AL35726,Oregon,3746.751625,Yes,Extended,College,2011-02-26,Employed,F,41479.0,Rural,Married,94,14,38,1,1,Personal Auto,Personal L2,Offer2,Call Center,19.575683,Two-Door Car,Large,A,Feb
